hacknology,
srujans1,
karmab,https://github.com/karmab
blp,http://openvswitch.org/
rgrove,https://wonko.com
asciimoo,
seadog007,https://seadog007.work
raghu5rvm,http://raghu5rvm.github.io/raghu
dc170,dc170.net
mlazarov,http://marto.lazarov.org
ryuken,
icedgarion,
roman-int3,
eric830303,https://www.facebook.com/profile.php?id=100002013697391
jfx41,
smh17,https://silviomarano.tk/
backshifted,
darri16,
alex0young,
mario1234,
toxic-ig,
theonlinehero,
javad7070,https://telegram.me/javad7070
zhumabek,
ajaykumarkk,
imjasonh,https://imjasonh.com
emmanuel1aguilar,
vxunderground,https://vx-underground.org
blackmathit,http://www.blackmath.it
levifuksz,iamlevi.net
diomed,www.buymeacoffee.com/diomed
vallejocc,http://www.vallejo.cc
faridtsl,
gerwang,
eladeli,
ashubits,
acetous,
fauzanriff,fauzanrifqy.com
muhammaddani,
zerobitofdiff,
dafrito,
glmcdona,http://www.split-code.com/
bloomer1016,https://www.herbiez.com
zerotri,
cxxr,https://www.seancassidy.me
matthb2,http://blog.kc2vjw.com
drptbl,https://t.me/DRPTBL
sanjaydb,https://www.softwareone.com/en/
thomasballinger,http://ballingt.com/
ravinihalani,https://remote.com/ravi-nihalani
ptv1p3r,
adityaalifn,adityaalifn.github.io
ksasmit,https://www.linkedin.com/in/ksasmit
blockchuan,
simon-weber,https://simon.codes
sankio,
spunkyt33dy,
andriiandrus,
amimoto,
vicky288,
dknight1900,
dswann5,
mhaseebmlk,
marcelki,
joshkardos,
kelvinsilva,
exanity1337,
leonj3813,
robbyfux,www.zeitfuchs.org
errorbyte,
notoriousrebel,https://secbytes.net/
z00z,http://za1d.com
uklteam,http://jokixp22.blogspot.co.id/
wangtianqi1993,
bbs-bill-gates,
keizerzilla,https://keizerzilla.github.io/
singhsd,https://www.linkedin.com/in/sahildeepsingh
mstfknn,
talbenarie,www.technotal.com
reaperb0t,
magentron,http://www.magentron.com
irene9adler,
psilokos,
farmert3d,
lounah,
viviencormier,http://ios-developer.fr/
microshaftcorp,https://scratch.mit.edu/studios/5202176/
dangm24,
8l,http://plan9assembler.blogspot.com/
ccrashbandicot,http://sec4ever.com/
techryptic,https://techryptic.github.io/
jes1510,about.me/jesse.merritt
willscott,https://wills.co.tt
fedeorlandau,https://fedeorlandau.dev/
emil225522,
moechezzy,https://chezzy.dev
neithernut,
javarockstar,www.hackingvision.com
sirpsycho,
zhipengmei,zhipengmei.github.io
professored,
nort3x,
prasanthkarukkuvel,http://prasanth.codehard.in
donat-imeri,
nairuzabulhul,
xuanyangece,https://www.linkedin.com/in/xuan-yang-ce/
mountainstorm,www.mountainstorm.co.uk
srydell,https://simonrydell.xyz
am-77,amine.js.org
jidongdeatao,
wownicehat,https://johnduckesent.keybase.pub/
psittacus,ps1ttacus.de
11digits,https://www.11digits.com
hamzampsy,
maggiedong,
evika2732,
vandanpatelgithub,
him-mah10,
moataz-metwally,
dev0uss,
mikelhpdatke,https://www.facebook.com/mikelhpdatke
thomaspatzke,http://patzke.org
gustavoesser,
hyndsite,
svilcata,
drewgaard,drewovergaard.com
syednoumanakhtar,https://in.linkedin.com/in/syednoumanakhtar
skyleronken,
jermeyyy,
qwutony,https://qwutony.github.io/
hackolite,
dfop02,dfop02.github.io
mehdiirh,www.iPanel.me
saturnsvoid,
notarobotexe,
0xdouze,
aaronvigal,www.aaronvigal.com
sesloc,
eternalc0der,
hogelog,http://hogel.org/
1modm,https://1modm.github.io/
uyu423,https://yowu.dev
ervanalb,eric.van.al
neilco,https://neilcowburn.com/
axisaxes,
raymond-w-ko,
ramandika,
tetyys,https://tetyys.com/
bes,
rychard,http://joshuashearer.com/
alseambusher,http://alseambusher.github.io
koanse,
4k-developer,
shxdow,shxdow.me
simnalamburt,https://hyeon.me
shaunidiot,
xjschwen,http://www.wlrobotics.org/
killbugs,
naxalpha,
ivansalomon,
ankurkarmakar,https://in.linkedin.com/in/ankur-karmakar-30748a154
vozzie,http://vozzie.be
p4nic,
bernhardschuld,
m4mbr3,mbr.sh
aaronryool,aaronyool.blogspot.com
hackedteam,
waryas,
your-favorite-hacker,
mapkyca,https://www.marcus-povey.co.uk
wkreiser,
hcuk94,
davidmunoz-dev,https://gitlab.com/davidmunoz-dev
maknee,https://maknee.github.io/
paradoxis,https://www.paradoxis.nl
jasonrclark,https://jasonrclark.com
truerandom,
vix597,troystorygames.com
mazen160,https://mazinahmed.net
robspectre,http://www.brooklynhacker.com
sayonsom,www.syncenergyai.com
pr0ph3ttr,
abraham21,https://www.abeyep.com
stevejarvis,https://iamteapot.dev/
begatimi,
falcon-punch,falcon-punch.github.io/Portfolio
enzolovesbacon,
mutantmonkey,https://mutantmonkey.in/
hummelchen,
benjimarshall,
satwikkansal,https://satwikkansal.xyz
anex007,
jasemagee,http://jasemagee.com
fourier1,
slipserum,slipserum.gvsg.cf
brianchristopherpeck,
axrs,http://axrs.dev/
tmkcodes,
carlospolop,https://book.hacktricks.xyz
iamblackhacker,https://www.facebook.com/B14CKH4K3R/
aamer09,https://www.aamersohail.rf.gd
gelossnake,https://malware-research.org
bychok300,
doodersrage,
abatchy17,https://abatchy.com
francescosegala,
asenchi,
zengrx,https://zengrx.github.io/
wesleywilian,
albertzsigovits,albertzsigovits.github.io
000justme,
thilokru,
figglewatts,blog.figglewatts.co.uk
networking101,
smirdenbyben,
ntfs123,
zerosum0x0,https://zerosum0x0.blogspot.com
clflush,
raphaelr,http://tapesoftware.net
eloopwoo,https://zenysec.com
mike-lang,http://twitter.com/Michael_Lang
rahulyhg,
d3p0rt,
alelievr,
sireof,
iamseth,
wildbook,
joernchen,
ajayrandhawa,https://ajayrandhawa.me
reecepbcups,https://reece.sh
farhan3,
pinkp4nther,https://pinkysplanet.net/
maxxie114,https://qubemc.com/
amit-raut,https://www.amitnraut.com
talentlessguy,https://v1rtl.site
sundaysec,
ttbooter,
suhasgr,
c-paras,https://www.linkedin.com/in/costa-paraskevopoulos-5180a5169/
brendan-rius,http://www.brendan-rius.com
a7vinx,https://a7vinx.github.io
andersk,
kundansingh007,
fengxuangit,https://www.evalshell.com
anashansson,
stephenwattam,stephenwattam.com
akadjoker,https://djokergames.wordpress.com
megatran,https://www.trannhan.com/
kornellewy,
laoyang103,
fititnt,http://fititnt.org
jrhe,
datalux,www.giuseppecriscione.it
augustoemoreira,
thanhquanky,http://linkedin.com/in/thanhquanky
walidabbassi,
t04glovern,https://nathanglover.com
northy,blog.northy.xyz
thefoxarmy,sethpainter.com
twitch,
psb-seclab,
lukemilby,https://hiveoperator.com
egesavci,
ceb10n,https://rafaelmarques.mobi/
ioscarry,
s0m30ne,
kafkaesqu3,
knakama0122,
crypt0s,crypt0s.com
cmtfrostyy,
umbum,umbum.dev
gustavo84,
bojieli,https://ring0.me/
orcmaster112,
congyuandong,https://www.congyuandong.cn
nankor,
agustinmachiavello,https://agustinmachiavello.github.io
csurage,
j2sg,http://j2sg.wordpress.com
vmo64,
floft,https://itsgarrett.com
svecon,svecon.cz
erickbarrera,erickbarrera.com
btaylor5,http://BryantTaylor.info
kuba,https://jakub.warmuz.org
conormackeigan,
avalon1610,
shadforth,
nilaybhatt,https://www.linkedin.com/in/nilay-bhatt
varbaek,
okeyshourovdaw,
akalankauk,https://akalanka.uk
akaagar,https://www.cafedefaune.net/
hackcrypto,
d4vinci,https://goo.gl/NhEQRz
shunirr,http://s5r.jp
irontoby,
mikaelasanchez,www.linkedin.com/in/Mikaela-Sanchez
dubniak,
arvanaghi,www.meow.co
tomswifter,TomerAharoni.com
techtocore,https://akashravi.github.io/
q-ball,
sammyshp,http://www.sammyshp.de/
andrealmeid,https://andrealmeid.com/
calee0219,https://calee.xyz
mikegleasonjr,
ctstone,
chrismcg,http://chrismcg.com
burakkoray,
licyun,
zmallen,twitter.com/teachemtechy
tlatkdgus1,http://pi-lab.io/
snir-levi,
streambinder,https://davidepucci.it
sunhick,https://www.linkedin.com/in/sunhick
op7ic,http://waitfordebug.wordpress.com/
joseph280,
loganoconnell,https://loganoconnell.me
giovannicolonna,https://dragonitesec.wordpress.com/
jeevanvenkataramana,
sarbesh,https://www.linkedin.com/in/sarbesh-sarkar/
frozenflames765,
mefhigoseth,https://www.youtube.com/user/MefhigosetH
pinusc,
ulissescastro,http://ulissescastro.com
guilhermefreire,
vasco2016,
gunjan1111,
loganinit,
96n,
maxpowersi,
4ellyicode,
atjontv,https://atvg-studios.com
rurban,
adamdburton,http://burt0n.net
ahmetfurkansonmez,
reffymelon,
awnumar,https://spacetime.dev
rijinmk,http://www.rijinmk.com/
albertsanso,
shivivats,shivivats.github.io
aishou,http://www.nakamax.net/
jiayy,jiayy.me
husseinwehbelopez,
r00tten,
habi,davidhaberthür.ch
im0qianqian,https://www.dreamwings.cn
iceqq,
secondspass,secondspass.org
tokenshift,
shraddhabhise,
giolapid,
prophetofxenu,
leahkatzelnick,
avineshwar,http://avineshwar.com
stolichnayer,https://www.linkedin.com/in/alex-perrakis-577a54191/
jrbedard,jrbedard.com
neptyx2018,
nuclear-zz,
lucadivit,
cybersaxostiger,http://anal.school
jarsba,
kfrapin,
wojtylacz,https://linkedin.com/in/vojtechuhlir/
nibba2018,linkedin.com/in/soham-biswas-590784168
grazfather,https://twitter.com/Grazfather
matoking,https://matoking.com
broken-admin,
dmayer,http://cysec.org
masoudd,https://masoudd.ir
sreenivas134,https://aitechcentral.com
gramosg,https://git.gramos.me
artemgord1728,
cmaruti,https://twitter.com/cmaruti
kylecooper,
0xmitsurugi,https://twitter.com/0xmitsurugi
marekfilip,
joeytribbianijr,
parsingteam,www.Parsing.ir 
buffer,
rrott,https://rrott.com
matteoragni,https://www.ragni.me
wenjoseph,
araf179,
nzaouesgi,
kayyjee,
faeris95,
emilhernvall,http://emilhernvall.github.com/
c3c,
galehrizky,galehrizky.com
rossmacarthur,
dana-at-cp,https://research.checkpoint.com/
zhangriyueming,
ncain,
levigross,http://www.levigross.com
wistke,
harrimand,
thedarkhorseuprising,https://www.youtube.com/channel/UCyyIRPbXWXhi-qN79kiW7yw
wsxarcher,http://wsx.re
sanduuz,
matthewnitschke,https://matthewnitschke.github.io/website/
sofiavit,
defu95,
feverqwe,
maliciousgroup,https://malicious.group
lhaagsma,
ashleycuster,
xcainiao,https://shuoz.top/
hal3002,
venom0x16,
sadin,http://zsny.dev
mostafahasseib,https://www.facebook.com/programmer.tito.5
luiz-surian,https://www.linkedin.com/in/lfsurianfilho/
mateus,
hookjordan,https://jordanhook.com
mdp,https://mdp.github.io
kernsteinist,
real0day,https://REal0day.com
rounakdatta,https://rounakdatta.github.io
spnow,
jusafing,https://jusanet.org
stamparm,https://twitter.com/stamparm/
egrajeda,https://egrajeda.com
dsmatter,
mattitk,https://www.linkedin.com/in/matti-kauppila-8b2a17a5/
amyangxyz,https://amyang.xyz
danysharp,Https://UrmiaPazar.ir
mrboomer,https://daniel.escobedo.io
orancanoren,me.orancanoren.com
rajatsharma11,
ashishraste,https://ashishraste.github.io
seo01,http://www.numenore.co.uk
adrael,https://raphaelmarques.fr
rennancockles,https://www.r3ck.com.br/
rondingtagpro,https://tagpro.eu
jcajatimcyberarmy,
dotcppfile,https://dotcppfile.wordpress.com/
logoilab,https://computeco.de/
psineur,
malavvyas,
zhang5521,
vamenard,
azurebrd,
joergschiller,joergschiller.de
konsaranto,
dvoraka,
enchip,
tiagorlampert,linkedin.com/in/tiagorlampert
supermanadam007,https://bazaaros.cz/
v3ded,https://v3ded.github.io/
pr-nizar,http://pr-nizar.blogspot.com
laxmisuprini,
moirai7,
shivenchawla,https://shivenchawla.github.io/
flavioaiello,https://flavio.aiello.ch
fluproject,http://www.flu-project.com
ocbserbia,
ring0x0,
adamserafini,www.adamserafini.com
nilankamanoj,www.linkedin.com/in/nilankamanoj
insanj,https://insanj.com
jarun,
kediel,www.almacaribe.co
kaiiyer,https://kaiiyer.co/
0xfee15bad,
whoami213,
tanelhiob,
sopuru,https://joshuasopuru.com/
belsebubben,
hkneptune,https://neptuneli.com/
