pond177,,,,29,184,,,7
vahidvahid23401,,,,2,31,,,37
nengzii14,,,,64,263,,,66
Ariefking,,,,32,82,,,77
thirdza056,,,,55,301,,,43
saibotlv2,,https://www.youtube.com/channel/UCy99s9RFyOP91wsa1Sso-iw/videos?view_as=subscriber,,172,816,True,,47
ariyans379,,,,25,54,,,35
siammay,,,,37,495,,,22
celaltuna,,,,28,169,,,24
riskiaja2018,,ID LINE: puskunyuk,,25,197,True,ㅤㅤ,2
ByNefes,,,,11,111,,,14
Yo191,,,,21,209,,,18
teambotmax,,http://nav.cx/d9Iz08v,,217,440,True,Thailand,217
jhail212,,https://github.com/Jhail212,,47,88,True,surabaya,82
yuhot,,,,29,329,,,45
blackmaster61,,,,16,257,,,0
danzenju11,,https://github,,8,21,True,,2
boyboyline,,,,2,19,,,0
JHAILbots,,,,24,11,,Surabaya,5
Asocka,,,,44,22,,Taipei-Taiwan,78
abubakargujjar479,,LINE BOT,,51,649,True,Pakistan,3
TEAMMASMAX,,,,15,10,,,3
hnumlove5,,https://github.com/hnumlove5/,,22,23,True,,49
rhaby,,,,16,10,,,26
nononome,,,,24,475,,,7
linelineon,,,,21,796,,,0
VoipSip,,,,455,14843,,,0
mo-ga,moga014,,,6,44,,Iraq,2
salammzere3,salam_mzere,https://t.me/T5B55,,22,80,,Iraq,15
MarselBotz,,,,0,2,,,3
